		lágyszárúaknál és fáknál				többnyire lágyszárúaknál			csak fáknál				hasonló növény										
Név	Latin név	virágzat	levél alak	levél szél	levélkapocs	virág alak	virág szín	szár alak	kéreg minta	kéreg szín	termés	Leírás	1	2	3								
Agárkosbor	Orchis morio	fürt	lándzsás	ép	tőálló	kosbor	lila	hengeres				Egyik legkisebb termetű és legkorábban nyíló , viszonylag gyakori orchidea -féle. A talaj mésztartalmára nézve közömbös, hazánkban sokfelé előfordul. 8-20 cm magasra nő meg. Szára felálló, egyenes, zöld színű, csak a virágzatnál bordó-vörös. Alulról felfelé haladva vastagsága számottevően csökken a szárlevelek miatt. Ezek szárölelőek, pikkelyszerűen borítva azt. Tőlevelei 2,5-12 cm hosszúak, közepükön a legszélesebbek, ép szélűek, hegyes csúcsúak, az egyszikűekre jellemzően párhuzamos erezetűek. Virágai 5-25 tagú laza fürtben nyílnak, alulról felfelé. A virágok 1,5 cm körüliek. Lehetnek sötét bíborvörösek, lilák, rózsaszínek, illetve előfordul fehér vagy halványsárga virágú példány is. A gyengén három karéjú mézajak középső hasábja kicsípett, a mézajak sötéten pontozott. A tompa lepellevelek sisakká borulnak össze, amely hosszirányban jellegzetesen zölden csíkozott. Sarkantyúja tompa végű. Április közepétől május végéig találkozhatunk vele kaszálókon, hegyi réteken, homok-és lápréteken, legelőkön, sztyeppréteken Termése sokmagvú tok. Védett, Természetvédelmi értéke: 10 000 Ft.	Tarka kosbor	Vitézkosbor	Bíboros kosbor								
Amerikai kőris	Fraxinus pennsylvanica	buga	szárnyalt	fűrészes	nyeles		bíbor		barázdált	szürkésbarna		Észak-Amerika keleti részéről származik. Hazánkban sok más Amerikából származó fafaj mellett ezt a fajt is az ártereken próbálták meghonosítani. Ma sok helyen kivadult, invazív jellegű. Egyes szakirodalmak Vörös kőrisnek is nevezik. Alakra nagyon hasonlít egy szép növésű Magas kőrishez, viszont rügyei nem fekete hanem barna színűek. Szárnyalt levelei 3 – 9 levélkéből állnak, a levélkék néha karéjosak is lehetnek, szélük általában fogazott, vagy ép. Lependék termése nem csavarodott, világos színű. Fáját hazánkban ritkán hasznosítják ipari célokra. Eredeti élőhelyén fáját gitárok készítésére használják (Az Ibanez, Gibson és Fender gitárok is javarészt ebből a fából készülnek). Gyakori városi parkfa, sok helyen koronáját 2-3 évente visszavágják.	Virágos kőris	Magas kőris									
Apácavirág	Nonea pulla	kunkor	lándzsás	ép	ülő	forrt	bíbor	hengeres				Az érdeslevelűek családjára jellemző, hogy a szárat és levelet sűrű szőr borítja. Termésük általában makkocska. Az apácavirág nemzetségének egyetlen Magyarországi képviselője. 35-40 cm magasra megnövő, felemelkedő szárú növény. Levelei keskeny lándzsa alakúak, szélük és levéllemezük ép. A leveleket és a  szárat az érdeslevelűkre jellemzően finom, fehér szőrök borítják, ettől lesz selymes tapintású az egész növény. Alsó levelei tőrózsát alkotnak, a száron található levelek ülők, szórtan helyezkednek el. Virágai forgóban nyílnak, a forrt párta harangalakú, ezek a levélhónalji kocsányokon nyúlnak ki. A virág színe szokatlan: sötét ibolyaszínűek, majdnem feketék, némelyik barnás árnyalatú lehet.  Termése horgas felületű makkocska.  Ezeknek a horgas szőröknek a növény terjedésében van szerepe, mert ennek segítségével kapaszkodnak az állatok bundájába, akik elhurcolják a magokat. Május- június hónapokban virágzik száraz réteken,kaszálókon, utak mentén.											
Apró füzény	Lythrum tribracteatum	magányos	visszás lándzsás	ép	ülő	6 tagú	rózsaszín	hengeres			tok	A füzény nemzetség legkisebb tajai, földön kúszó hajtásaival és apró virágaival nem nagyon tűnik ki a szikes pusztás növényzetéből. Kicsi termetű növény, hajtásai a földön szétterülnek. Magányos virágai halvány rózsaszínűek, a kicsi szálas vagy visszás lándzsás levélkék hónaljában ülnek. Termése tok. Magyarországon ritka, értékes természeti kincsei a szikes puszták és azok páratlan élővilága. Az apró füzény is ezeken a helyeken fordul elő. Védett faj, eszmei értéke 10000 fortint.											
Apró here	Trifolium dubium	fejecske	összetett	ép	ülő	pillangós	sárga	hengeres				A here-fajok a pillangósvirágúak családjába tartoznak. Fontos tulajdonságuk, hogy a gyökerükön élő nitrifikáló baktériumok segítségével megkötik a légköri nitrogént, így beszántva növelik a talaj nitrogén tartalmát. Alacsony termetű, heverő vagy felemelkedő, elágazó szárú évelő. Levelei hármasan összetettek, nyél nélkül kapcsolódnak a szárhoz. A levélkék tojásdadok vagy fordított tojásdadok, csúcsuk lehet kicsípett vagy végződhet pici szálkában. A szélük finoman fűrészes. A levélerek halványabban látszanak. Finoman molyhosak. A virágok borsószem nagyságú fejecskékben nyílnak, sárga színűek, a vitorla keskeny. Termése összepöndörödött hüvely. Április-június hónapokban virágzik réteken, legelőkön, utak szélén, nyílt területen.	Fehér here	Tartó here	Vajszínű here	Erdei here	Eper here	Hegyi here	Vürüs here	Zörgő here	Mezei here	Bérci here	Korcshere
Apró kankalin	Primula minima	magányos	visszás tojásdad	fűrészes	tőálló	5 tagú	bíbor	hengeres				A magashegységekben élő növények igen szélsőséges körülményekhez kénytelenek alkalmazkodni: nappal forró sziklák, éjjel nagy hideg, kevés csapadék. Ez a havasi növény csupán kettő-öt cm magas. Fényes zöld levelei 1-1,5 cm hosszúak, tőlállóak (kicsi tőlevélrózsát alkotnak), visszás tojásdadok vagy fordított háromszög alakúak. A szélük részben ép, de a kiszélesedő csúcsi részen durván fűrészesek. A virágok magányosan nyílnak a rövidke tőkocsányon. A csésze forrt. Az öt, mélyen kicsípett szirom bíborlila színű, torkukon fehér folttal. A porzók sárga színűek. Toktermése van. májusban virágzik magashegységekben, réteken, sziklák tövében, kiszögelléseken. Hazánkban nem honos, de a Tátrában már találkozhatunk vele.											
Apró keresztfű	Cruciata pedemontana	buga	tojásdad	ép	ülő	4 tagú	sárga	szögletes				<hiányzó leírás>											
Apró kőtörőfű	Saxifraga tridactylites	ernyő	kerekded	ép	tőálló	5 tagú	fehér	hengeres				A kőtörőfüvek száraz, sziklás élőhelyekhez alkalmazkodtak. A család többi tagjai között igazi sziklai túlélőket találunk (többnyire levélszukkulensek). Kis termetű, nehezen észrevehető, jelentéktelen külsejű növényke. Felálló szára cérna vékonyságú, vörös színű, ami igen jellemző faji bélyeg. Levelei mind tőállóak, kerekdedek vagy tőállóak, a szélük ép, némelyiknek a levélcsúcsa kétszer kicsípett, emiatt három cimpájú. A virágok nagyon aprók, fehér színűek, öt keskeny szirom alkotja őket. Hosszú, vékony kocsányon ülnek, mely  a virágnál nagyobb. Néha, mikor tömeges virágzik, olyan, mintha a virágok a levegőben úsznának, mivel a vékony szár alig látszik. A termése tok. Március elejétől virágzik. Sziklafalakon, szirteken, gyepeken, sziklalejtőkön virít.	Fürtös kőtörőfű	Gumós kőtörőfű	Mohaképű kőtörőfű	Pézsmaillatú kőtörőfű							
Apró lucerna	Medicago minima	fürt	összetett	ép	nyeles	pillangós	sárga	hengeres				Magyarországon több lucerna faj is megtalálható. Legismertebb faj a takarmány lucerna. Több védett faja is van.  Meglehetősen kis termetű, szinte alig észrevehető növényke. Szára általában felemelkedik. Levelei hármasan összetettek, a nemzetségre jellemzően a középső levélke levélkenyele hosszabb, mint a két szélsőé. A levélkék tojásdadok, vagy elliptikusak, szélük ép, csak a csúcs enyhén csipkézett. Termése pillás, csavarodott hüvely. Száraz rétek, legelők növénye.											
Apró nefelejcs	Myosotis stricta	forgó	lándzsás	ép	ülő	5 tagú	kék	hengeres				Tavaszi és nyári rétek élénk kék színfoltjai a nefelejcs fajok, de kedvelt kerti virágok is, mivel kevés törődést is hosszú virágpompával hálálnak meg. Kis termetű, gracilis faj. Vékony szára sűrűn szőrös, vöröses futtatású lehet. Szálas vagy lándzsa alakú levelei ép szélűek, ülőek, a szárhoz hasonlóan szőrösek. Virágai világoskékek, igen kicsik, csupán 1-2 mm átmérőjűek. A csészelevelek is szőrösek. Száraz gyepek, rétek, útszélek tavasz végi virága.	Parlagi nefelejcs										
Apró szulák	Convolvulus arvensis	magányos	lándzsás	ép	nyeles	forrt	fehér	hengeres				Említik homeopátiás szerként, hátfájás csillapítására, de napjainkban nem használják. Ártalmatlannak tűnhet, de erős, csavarodó szárával agresszívan terjed. A földről alig emelkedik fel, de vékony, csavarodott szárával több méterre is képes elkúszni, vagy felmászni, a gazdanövényt, kerítést kapaszkodónak használva. Levelei nyíl alakúak, szíves vállúak. Virágai fehérek vagy rózsaszínek, sötétebb csíkokkal, tölcsér alakúak. Termése tok. Igen szárazságtűrő, gyökere több méterre is lehatolhat, hogy elérje a talajvizet. Június-szeptember között virágzik, szántókon, művelt területen. Nagy számú magja, kiváló reprodukciós képessége miatt nagyon gyorsan el tud terjedni.											
Arany pimpó	Potentilla aurea	magányos	összetett	fűrészes	nyeles	5 tagú	sárga	hengeres				A pimpók többnyire sárga virágúak, bár néhány faj fehérben pompázik. Több hazai faj is védett. Az arany pimpóval sajnos nem találkozhatunk itthon. Heverő-kúszó szárú faj. Levelei ötösen összetettek, a fordított tojásdad levélkék széle fűrészes. A kevés szárlevél hármasan összetett, ülő. Az élénksárga szirmok csúcsa kicsípett, a szirmok tövén jellegzetes, feltűnő narancssárga folt látható. Tíz hegyes csészelevele van. A levelek és szár finoman molyhos. Alhavasi övben fordul elő, törpefenyvesek szélén, réteken. Május végén virágzik. A szirmokon látható narancs színű minta egyes naprózsa fajoknál is jelen van.	Indás pimpó	Vörösszárú pimpó	Homoki pimpó	Ezüst pimpó	Kövi pimpó	Libapimpó	Henye pimpó	Egyenes pimpó	Vérontófű		
Aranyveselke	Chrysosplenium alternifolium	bog	kerekded	csipkés	lefutó	4 tagú	sárga	háromélű				Magyar elnevezését a virág sárga színe és a levelek vese alakja miatt kapta. Három élű szára alig arasznyira emelkedik fel a földről. Alsó, nyeles tőlevelei kerekek, csipkés szélűek. A felső szárlevelek, amit első pillantásra a virágzat részének lehet hinni, vese alakúak, szintén csipkés szélűek, ülőek, halványak, majdnem sárgás zöldek. Ezek közt a levelek közt ülnek az apró,négytagú sárgászöld virágok. Valójában nem igazán feltűnőek, néha csak az utolsó pillanatban lehet őket észrevenni. Gyors vizű hegyi patakok partján virágzik kora tavasszal, március közepétől már ott aranylik az avar között.											
